bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Mumbai to Goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),2024-07-18 15:30:00,17h 00m,2024-07-18 08:30:00,4.3,810,"13 Seats available
3 Single"
Mumbai to Goa,Mascot Travels(M.Dev),A/C Sleeper (2+1),2024-07-18 17:30:00,17h 15m,2024-07-18 10:45:00,4.0,585,19 Seats available
Mumbai to Goa,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 20:55:00,13h 50m,2024-07-18 10:45:00,3.9,759,"13 Seats available
3 Single"
Mumbai to Goa,GANESH PRASAD TRAVELS,NON A/C Seater (2+2),2024-07-18 20:00:00,13h 55m,2024-07-18 09:55:00,New,2500,49 Seats available
Mumbai to Goa,GANESH PRASAD TRAVELS,A/C Seater (2+2),2024-07-18 21:00:00,13h 55m,2024-07-18 10:55:00,New,2500,49 Seats available
Mumbai to Goa,Konkan Travels National,NON A/C Sleeper (2+1),2024-07-18 19:25:00,14h 20m,2024-07-18 09:45:00,3.9,508,"13 Seats available
2 Single"
Mumbai to Goa,Konkan Travels National,A/C Sleeper (2+1),2024-07-18 18:00:00,16h 55m,2024-07-18 10:55:00,3.8,600,"20 Seats available
5 Single"
Mumbai to Goa,Dolphin travel house,A/C Sleeper (2+1),2024-07-18 17:45:00,17h 00m,2024-07-18 10:45:00,3.5,910,"9 Seats available
4 Single"
Goa to Mumbai,Kadamba Transport Corporation Limited (KTCL) - 116186,Volvo AC Seater 2+2,2024-07-18 18:30:00,13h 30m,2024-07-18 08:00:00,3.8,800,"25 Seats available
10 Window"
Goa to Mumbai,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-18 18:10:00,14h 55m,2024-07-18 09:05:00,4.5,665,"11 Seats available
1 Single"
Goa to Mumbai,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 19:30:00,14h 10m,2024-07-18 09:40:00,4.5,600,"12 Seats available
1 Single"
